event_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,auth_outcome,department,resource_sensitivity,bytes_transferred,destination_ip,schema_version,extensions
cba80ace-1a4f-4953-ab58-0cbc5b8fe196,svc-0001,service_account,2026-01-05T00:02:26.803646Z,10.20.0.1,"{""city"":""Bengaluru"",""country_code"":""IN"",""latitude"":12.9716,""longitude"":77.5946}",platform/metrics,certificate,259.451,"[""token_exchange"",""read_config"",""write_metric"",""commit""]",svc-0001-runtime,success,platform,medium,24429,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""17c0db99-7361-4649-b2dd-9b3fe4667f94""}"
dad05b57-0b6c-4b70-ad86-684f86a38ab0,iot-0003,iot_device,2026-01-05T00:02:54.100940Z,10.30.0.3,"{""city"":""Pune"",""country_code"":""IN"",""latitude"":18.5204,""longitude"":73.8567}",iot/telemetry-ingest,certificate,24.19,"[""authenticate_certificate"",""publish_telemetry"",""heartbeat""]",iot-0003-fingerprint,success,manufacturing,medium,4764,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""cafc3057-b1d3-468f-a50d-aed483a4e050""}"
d851f0b9-b11b-477e-b074-ff31f516322a,edge-0007,edge_device,2026-01-05T00:12:00.699725Z,10.40.0.7,"{""city"":""Pune"",""country_code"":""IN"",""latitude"":18.5204,""longitude"":73.8567}",edge/maintenance,certificate,22.848,"[""authenticate_certificate"",""sync"",""publish_batch"",""heartbeat""]",edge-0007-fingerprint,success,manufacturing,medium,17776,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""c7706391-f767-42a6-904f-bab293a759e4""}"
6042f088-3e53-4deb-a422-5673ac199f94,iot-0008,iot_device,2026-01-05T00:12:08.620891Z,10.30.0.8,"{""city"":""Chennai"",""country_code"":""IN"",""latitude"":13.0827,""longitude"":80.2707}",iot/device-shadow,certificate,15.447,"[""authenticate_certificate"",""publish_telemetry"",""heartbeat""]",iot-0008-fingerprint,success,manufacturing,medium,6560,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""202a995c-5688-4e93-b20e-ec7bc5935e23""}"
3c87fd1b-7800-4b30-81e6-b76aed8b8c43,iot-0005,iot_device,2026-01-05T00:27:46.618008Z,10.30.0.5,"{""city"":""Bengaluru"",""country_code"":""IN"",""latitude"":12.9716,""longitude"":77.5946}",iot/telemetry-ingest,certificate,40.665,"[""authenticate_certificate"",""publish_telemetry"",""heartbeat""]",iot-0005-fingerprint,success,manufacturing,medium,748,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""ad1b6951-7002-4d05-95e9-e365ea105bdf""}"
f1bc06c3-ad9e-4a5e-8b95-a344cad82243,iot-0015,iot_device,2026-01-05T00:33:13.006495Z,10.30.0.15,"{""city"":""Pune"",""country_code"":""IN"",""latitude"":18.5204,""longitude"":73.8567}",iot/device-shadow,certificate,20.982,"[""authenticate_certificate"",""publish_telemetry"",""heartbeat""]",iot-0015-fingerprint,success,manufacturing,medium,7567,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""1e9ed61f-ece9-42fe-96db-4923f6dc52f8""}"
14afa578-519a-41ef-a1e9-f8330ce9744e,edge-0002,edge_device,2026-01-05T00:35:30.153723Z,10.40.0.2,"{""city"":""Hyderabad"",""country_code"":""IN"",""latitude"":17.385,""longitude"":78.4867}",edge/site-gateway,certificate,88.412,"[""authenticate_certificate"",""sync"",""publish_batch"",""heartbeat""]",edge-0002-fingerprint,success,manufacturing,medium,25872,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""acb76327-8380-41c8-9eb2-fa86950b3c9f""}"
f1959134-c59e-4337-9665-8bd7f156ae9a,svc-0011,service_account,2026-01-05T00:40:46.943427Z,10.20.0.11,"{""city"":""Pune"",""country_code"":""IN"",""latitude"":18.5204,""longitude"":73.8567}",platform/secrets-broker,service_token,67.704,"[""token_exchange"",""read_config"",""write_metric"",""commit""]",svc-0011-runtime,success,platform,high,34972,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""b8b41d8a-7400-4959-8f4e-ba6dff66816b""}"
541dbd68-3ead-475c-9349-b9b730fa0322,edge-0009,edge_device,2026-01-05T00:43:08.375894Z,10.40.0.9,"{""city"":""Bengaluru"",""country_code"":""IN"",""latitude"":12.9716,""longitude"":77.5946}",edge/site-gateway,certificate,60.876,"[""authenticate_certificate"",""sync"",""publish_batch"",""heartbeat""]",edge-0009-fingerprint,success,manufacturing,medium,9058,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""22a79fbd-d6c5-45fc-a018-e20998bb3d70""}"
46bcd019-4a5f-4fdf-b4ca-af5ac4d1668f,iot-0014,iot_device,2026-01-05T00:46:30.701604Z,10.30.0.14,"{""city"":""Hyderabad"",""country_code"":""IN"",""latitude"":17.385,""longitude"":78.4867}",iot/firmware-status,certificate,59.642,"[""authenticate_certificate"",""publish_telemetry"",""heartbeat""]",iot-0014-fingerprint,success,manufacturing,medium,350,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""730af16d-e737-4c59-a83a-afa91505a0df""}"
c5faa609-1346-4c9c-949f-84503efe3fe2,svc-0004,service_account,2026-01-05T00:49:17.327450Z,10.20.0.4,"{""city"":""Chennai"",""country_code"":""IN"",""latitude"":13.0827,""longitude"":80.2707}",platform/message-bus,certificate,118.044,"[""token_exchange"",""read_config"",""write_metric"",""commit""]",svc-0004-runtime,success,platform,medium,63299,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""60cff742-7a54-4674-a002-d96f0bff30a7""}"
769835ab-ed71-43a4-9e7c-c61048e35e57,iot-0008,iot_device,2026-01-05T00:51:54.718073Z,10.30.0.8,"{""city"":""Chennai"",""country_code"":""IN"",""latitude"":13.0827,""longitude"":80.2707}",iot/telemetry-ingest,certificate,35.918,"[""authenticate_certificate"",""publish_telemetry"",""heartbeat""]",iot-0008-fingerprint,success,manufacturing,medium,7523,,1.0,"{""behavior_phase"":""stable"",""cold_start_entity"":false,""drift_progress"":0.0,""profile_id"":""202a995c-5688-4e93-b20e-ec7bc5935e23""}"
